## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics --INPUT /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM-SV_T/ANALYSIS/20260216_ANALYSIS01_GENOME/ANALYSIS_WGS/01-sarek_ND0693/preprocessing/recalibrated/ND0693/ND0693.recal.cram --OUTPUT /data/ucct/bi/research/20260204_TFM_SSANCHEZ_SM-SV_T/ANALYSIS/20260216_ANALYSIS01_GENOME/ANALYSIS_WGS/99-stats/ND0693_wgsMetrics.out --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE /data/ucct/bi/references/eukaria/homo_sapiens/hg19/1000genomes_b37/genome/human_g1k_v37_decoy.fasta --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --COVERAGE_CAP 250 --LOCUS_ACCUMULATION_CAP 100000 --STOP_AFTER -1 --INCLUDE_BQ_HISTOGRAM false --COUNT_UNPAIRED false --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --USE_FAST_ALGORITHM false --READ_LENGTH 150 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Mar 05 11:05:14 GMT 2026

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
2900340137	26.458208	8.685166	27	4	0.000003	0.030537	0.092746	0.000111	0.012696	0.130146	0.003676	0.269915	0.975498	0.97152	0.961161	0.927446	0.858228	0.663472	0.351355	0.0261	0.002995	0.00182	0.001222	0.000896	0.000694	0.000557	1.202646	1.556365	2.204851	0.973519	16

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	71064481
1	3777059
2	2771287
3	2474351
4	2513558
5	2924388
6	3821033
7	5330179
8	7557421
9	10413899
10	13672969
11	16923132
12	19905370
13	22455112
14	24826066
15	27565822
16	31427683
17	37349893
18	46099598
19	58312663
20	73896305
21	92350076
22	112629835
23	133274011
24	152709181
25	169041841
26	180833325
27	187016987
28	187100490
29	181254027
30	170291208
31	155230316
32	137500237
33	118467741
34	99348002
35	81131369
36	64605876
37	50238459
38	38159971
39	28376283
40	20673540
41	14781314
42	10377234
43	7179560
44	4924038
45	3348359
46	2278376
47	1563399
48	1095001
49	790392
50	592883
51	468143
52	391472
53	342800
54	310888
55	288379
56	272476
57	259687
58	247934
59	235103
60	223571
61	211589
62	200595
63	188987
64	176279
65	166187
66	156452
67	146593
68	136663
69	127341
70	118508
71	112588
72	106265
73	100472
74	95353
75	90267
76	86351
77	81230
78	77950
79	75007
80	71063
81	67462
82	64429
83	62064
84	58741
85	56815
86	54422
87	52565
88	50609
89	48114
90	46790
91	45077
92	43489
93	41954
94	40278
95	38573
96	37292
97	36087
98	34408
99	33506
100	32300
101	31203
102	30147
103	29115
104	28516
105	27474
106	27136
107	26682
108	26005
109	25497
110	24569
111	24653
112	23901
113	23828
114	23581
115	23374
116	23146
117	23559
118	23335
119	23438
120	23400
121	23272
122	22677
123	22831
124	22952
125	22469
126	22223
127	21993
128	21477
129	21560
130	21120
131	20801
132	20965
133	20475
134	20394
135	19935
136	19139
137	18770
138	18497
139	17956
140	17274
141	16616
142	16023
143	15564
144	15250
145	14847
146	14341
147	13842
148	13293
149	13002
150	12329
151	11887
152	11346
153	10886
154	10564
155	10217
156	9561
157	9129
158	8979
159	8691
160	8285
161	7885
162	7497
163	7041
164	6729
165	6365
166	5996
167	5776
168	5494
169	5268
170	4855
171	4673
172	4307
173	4144
174	3984
175	3857
176	3802
177	3613
178	3376
179	3337
180	3197
181	3196
182	3171
183	3084
184	2924
185	2980
186	2873
187	2872
188	2735
189	2778
190	2669
191	2617
192	2543
193	2441
194	2323
195	2315
196	2229
197	2332
198	2242
199	2170
200	2058
201	1954
202	1905
203	1951
204	1732
205	1763
206	1581
207	1676
208	1631
209	1561
210	1488
211	1451
212	1423
213	1347
214	1343
215	1276
216	1280
217	1205
218	1216
219	1221
220	1193
221	1111
222	1084
223	1092
224	1033
225	982
226	1020
227	970
228	998
229	1017
230	1039
231	960
232	1011
233	987
234	875
235	878
236	897
237	846
238	830
239	813
240	733
241	840
242	783
243	786
244	781
245	814
246	784
247	732
248	746
249	748
250	199243

