task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
76	dd/e1e09f	5355871	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (ND0013)	COMPLETED	0	2026-02-26 12:52:01.981	37m 13s	36m 23s	174.7%	2.5 GB	3.5 GB	7.5 GB	25.8 MB
89	32/8714a3	5356026	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:TX2GENE (genome.filtered.gtf)	COMPLETED	0	2026-02-26 13:29:16.191	1m 18s	52s	77.6%	58.8 MB	63.6 MB	1.6 GB	7.4 MB
90	4b/13a6a8	5356028	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:TXIMPORT	COMPLETED	0	2026-02-26 13:30:35.486	2m 24s	2m 8s	26.1%	1.3 GB	2.1 GB	180.5 MB	49.4 MB
93	42/e1a38c	5356039	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SE_GENE (tx2gene.tsv)	COMPLETED	0	2026-02-26 13:33:01.376	52.6s	38s	25.7%	402.1 MB	1.2 GB	60 MB	1.8 MB
95	36/ec20bd	5356035	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SE_TRANSCRIPT (tx2gene.tsv)	COMPLETED	0	2026-02-26 13:33:00.904	58.1s	41s	28.7%	509.5 MB	1.3 GB	73.5 MB	6.7 MB
94	f9/07fb7a	5356036	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SE_GENE_SCALED (tx2gene.tsv)	COMPLETED	0	2026-02-26 13:33:00.972	1m 23s	40s	25.3%	570.8 MB	1.4 GB	61 MB	2.2 MB
92	f0/e0fd35	5356037	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SE_GENE_LENGTH_SCALED (tx2gene.tsv)	COMPLETED	0	2026-02-26 13:33:01.033	1m 23s	41s	24.8%	572.4 MB	1.4 GB	61 MB	2.2 MB
91	d9/154bc7	5356038	NFCORE_RNASEQ:RNASEQ:DESEQ2_QC_STAR_SALMON	COMPLETED	0	2026-02-26 13:33:01.180	1m 58s	1m 25s	21.7%	621.6 MB	1.6 GB	70.9 MB	2.3 MB
75	fb/fee094	5355870	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ND0013)	COMPLETED	0	2026-02-26 12:52:01.897	52m 7s	51m 47s	29.5%	5.2 GB	6.3 GB	13.8 GB	10.6 GB
96	f0/f6dd32	5356056	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ND0013)	COMPLETED	0	2026-02-26 13:44:09.288	18m 50s	18m	5.9%	56.2 MB	220.9 MB	4.8 GB	3.9 MB
114	33/be1243	5356090	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ND0323)	COMPLETED	0	2026-02-26 14:03:02.880	1m 7s	10s	0.9%	13.9 MB	44 MB	4.4 MB	5.4 KB
112	f6/d008ff	5356089	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ND0463)	COMPLETED	0	2026-02-26 14:03:02.832	1m 6s	6s	1.3%	10.9 MB	16.8 MB	3.5 MB	5.4 KB
120	58/aadbd0	5356093	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ND0013)	COMPLETED	0	2026-02-26 14:03:03.045	1m 7s	5s	1.5%	10.7 MB	16.9 MB	4.1 MB	5.4 KB
115	8d/d09100	5356096	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ND0693)	COMPLETED	0	2026-02-26 14:03:03.188	1m 8s	2s	4.7%	7.9 MB	13.7 MB	3.7 MB	5.4 KB
108	0d/f6d607	5356094	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (ND0013)	COMPLETED	0	2026-02-26 14:03:03.096	1m 7s	6s	52.0%	69.8 MB	799.6 MB	54.5 MB	796 B
103	47/c1f40f	5356085	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (ND0013)	COMPLETED	0	2026-02-26 14:03:02.469	3m 8s	2m 26s	26.3%	892.6 MB	2.4 GB	157.8 MB	63.6 MB
99	63/9b61de	5356057	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (ND0013)	COMPLETED	0	2026-02-26 13:44:09.353	28m 40s	28m 2s	41.4%	5.1 GB	6 GB	10.1 GB	947.2 MB
119	57/4a00af	5356095	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ND0013)	COMPLETED	0	2026-02-26 14:03:03.134	11m 6s	10m 2s	9.4%	6.9 MB	220.9 MB	4.8 GB	5.4 KB
70	ed/f7d402	5355840	NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (ND0693)	COMPLETED	0	2026-02-26 12:46:54.146	1h 27m 27s	1h 26m 34s	33.4%	5.4 GB	32.5 GB	42.9 GB	38.2 GB
105	6d/3d47ee	5356079	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (ND0013)	COMPLETED	0	2026-02-26 14:03:01.917	11m 19s	10m 56s	31.6%	123.3 MB	853.4 MB	4.9 GB	51.2 MB
122	f1/d6a0cd	5356104	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (ND0013)	COMPLETED	0	2026-02-26 14:12:50.829	1m 58s	1m 5s	5.4%	7.6 MB	18.5 MB	235 MB	234.9 MB
121	d7/de4bec	5356105	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (ND0013)	COMPLETED	0	2026-02-26 14:12:51.482	3m 8s	2m 22s	2.3%	7.7 MB	18.5 MB	238.8 MB	238.7 MB
