task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
19	56/13be3e	5226790	NFCORE_SAREK:SAREK:FASTQC (ND0013-1)	CACHED	0	2026-02-10 10:19:29.115	1h 26m 37s	1h 26m 32s	94.1%	1.1 GB	3.8 GB	46.1 GB	4.2 MB
11	96/208337	5226791	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_138_mod.b37.vcf)	CACHED	0	2026-02-10 10:19:29.136	57.1s	52s	70.8%	19.2 MB	25.9 MB	1.4 GB	2.2 MB
18	47/07a4cf	5226789	NFCORE_SAREK:SAREK:FASTP (ND0013-1)	CACHED	0	2026-02-10 10:19:29.093	1h 23m 12s	1h 22m 47s	138.2%	2.1 GB	2.9 GB	46.1 GB	47.8 GB
15	f7/9b6dad	5226796	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_Sarek.list)	CACHED	0	2026-02-10 10:19:29.263	7s	0ms	9.4%	5.3 MB	21 MB	56.8 KB	3 KB
24	dd/4d1bae	5226991	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0013-1)	CACHED	0	2026-02-10 11:42:41.631	29m 10s	28m 35s	1113.2%	25.6 GB	29.6 GB	38.6 GB	33.3 GB
20	ea/1ec84c	5226990	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0013-1)	CACHED	0	2026-02-10 11:42:41.611	20m 35s	20m 7s	1445.5%	26.1 GB	29.5 GB	38.6 GB	33.3 GB
25	a0/a4658b	5226992	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0013-1)	CACHED	0	2026-02-10 11:42:41.651	28m 10s	27m 30s	1182.7%	25.5 GB	29.6 GB	38.6 GB	33.3 GB
27	ce/3e22d5	5226995	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0013-1)	CACHED	0	2026-02-10 11:42:41.713	27m 10s	27m 3s	1214.6%	25.9 GB	29.7 GB	38.6 GB	33.3 GB
37	da/e7e039	5226994	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0013-1)	CACHED	0	2026-02-10 11:42:41.696	21m 10s	20m 39s	1525.3%	25.5 GB	29.9 GB	38.6 GB	33.3 GB
38	93/6e6e89	5226996	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0013-1)	CACHED	0	2026-02-10 11:42:41.728	28m 10s	28m 7s	1199.2%	25.6 GB	29.5 GB	38.6 GB	33.3 GB
23	9a/82dca3	5226989	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0013-1)	CACHED	0	2026-02-10 11:42:41.554	28m 55s	28m 33s	1085.6%	25.7 GB	29.8 GB	38.6 GB	33.3 GB
26	0f/aa271b	5226993	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0013-1)	CACHED	0	2026-02-10 11:42:41.676	26m 10s	25m 36s	1289.8%	25.6 GB	29.6 GB	38.6 GB	33.3 GB
39	2c/43bf20	5226998	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0013-1)	CACHED	0	2026-02-10 11:42:41.766	27m 35s	27m 21s	1152.1%	25.5 GB	29.5 GB	38.6 GB	33.3 GB
53	ed/372a1f	5226997	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0013-1)	CACHED	0	2026-02-10 11:42:41.747	26m 10s	25m 32s	1259.5%	25.5 GB	29.6 GB	38.6 GB	33.3 GB
54	8f/d20ce7	5227000	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0013-1)	CACHED	0	2026-02-10 11:42:41.798	28m 40s	28m 18s	1164.2%	25.6 GB	29.4 GB	38.6 GB	33.3 GB
61	fa/a3f8c3	5226803	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (6_61830166-171115067)	CACHED	0	2026-02-10 10:19:38.597	2.7s	0ms	60.4%	3.1 MB	5.4 MB	91 KB	3.3 KB
58	e1/362315	5226800	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (5_49405641-180915260)	CACHED	0	2026-02-10 10:19:37.297	4s	0ms	23.5%	3.1 MB	5.4 MB	91.4 KB	3.3 KB
63	a8/61f3fd	5226805	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (8_46838887-146364022)	CACHED	0	2026-02-10 10:19:39.446	1.9s	1s	62.7%	3.1 MB	5.4 MB	91 KB	3.3 KB
57	21/f7685c	5226798	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (4_52660117-191154276)	CACHED	0	2026-02-10 10:19:36.881	4.4s	0ms	51.6%	3.1 MB	5.4 MB	91.4 KB	3.3 KB
