chrom	length	bases	mean	min	max
1	249250621	963460097	3.87	0	2356
1_region	3924405	490638223	125.02	0	2257
2	243199373	816707490	3.36	0	25714
2_region	2874479	414998237	144.37	0	1529
3	198022430	577245720	2.92	0	1335
3_region	2293720	298933312	130.33	0	1335
4	191154276	442234219	2.31	0	3332
4_region	1597910	218079735	136.48	0	1577
5	180915260	489209058	2.70	0	2505
5_region	1816878	257551255	141.75	0	1464
6	171115067	536950016	3.14	0	2070
6_region	2018957	281532077	139.44	0	1399
7	159138663	546798907	3.44	0	1646
7_region	1811821	260949267	144.03	0	1646
8	146364022	386242623	2.64	0	1657
8_region	1318381	190254040	144.31	0	1227
9	141213431	448842874	3.18	0	1940
9_region	1627525	227835260	139.99	0	1940
10	135534747	433438749	3.20	0	1241
10_region	1585637	216832863	136.75	0	1241
11	135006516	583686693	4.32	0	1670
11_region	2280879	316424732	138.73	0	1240
12	133851895	574428102	4.29	0	3662
12_region	2019425	291287595	144.24	0	1160
13	115169878	226587397	1.97	0	1167
13_region	737765	118026059	159.98	0	1167
14	107349540	380443034	3.54	0	2271
14_region	1243699	187587299	150.83	0	1201
15	102531392	422655000	4.12	0	2180
15_region	1342501	190142067	141.63	0	1420
16	90354753	485576735	5.37	0	1630
16_region	1656234	222158471	134.13	0	1630
17	81195210	578306942	7.12	0	1429
17_region	2169922	295234638	136.06	0	1429
18	78077248	200238782	2.56	0	1328
18_region	627812	98912431	157.55	0	1328
19	59128983	602849721	10.20	0	1408
19_region	2441464	337174750	138.10	0	1276
20	63025520	264350607	4.19	0	1560
20_region	931848	137046368	147.07	0	1135
21	48129895	115679799	2.40	0	1068
21_region	408846	56353264	137.83	0	1016
22	51304566	272740825	5.32	0	1915
22_region	824519	122381613	148.43	0	1476
X	155270560	638917057	4.11	0	2715
X_region	1430791	298014182	208.29	0	2715
Y	59373566	763358	0.01	0	454
Y_region	101042	209774	2.08	0	221
MT	16569	866277	52.28	7	141
MT_region	0	0	0.00	0	0
GL000207.1	4262	1503	0.35	0	3
GL000207.1_region	0	0	0.00	0	0
GL000226.1	15008	282784	18.84	0	86
GL000226.1_region	0	0	0.00	0	0
GL000229.1	19913	15300	0.77	0	13
GL000229.1_region	0	0	0.00	0	0
GL000231.1	27386	17973	0.66	0	14
GL000231.1_region	0	0	0.00	0	0
GL000210.1	27682	5093	0.18	0	4
GL000210.1_region	0	0	0.00	0	0
GL000239.1	33824	21464	0.63	0	10
GL000239.1_region	0	0	0.00	0	0
GL000235.1	34474	10952	0.32	0	7
GL000235.1_region	0	0	0.00	0	0
GL000201.1	36148	310084	8.58	0	147
GL000201.1_region	0	0	0.00	0	0
GL000247.1	36422	6351	0.17	0	3
GL000247.1_region	0	0	0.00	0	0
GL000245.1	36651	9669	0.26	0	3
GL000245.1_region	0	0	0.00	0	0
GL000197.1	37175	82675	2.22	0	96
GL000197.1_region	0	0	0.00	0	0
GL000203.1	37498	3601	0.10	0	2
GL000203.1_region	0	0	0.00	0	0
GL000246.1	38154	93515	2.45	0	174
GL000246.1_region	0	0	0.00	0	0
GL000249.1	38502	49428	1.28	0	103
GL000249.1_region	0	0	0.00	0	0
GL000196.1	38914	84107	2.16	0	135
GL000196.1_region	0	0	0.00	0	0
GL000248.1	39786	6312	0.16	0	2
GL000248.1_region	0	0	0.00	0	0
GL000244.1	39929	174394	4.37	0	502
GL000244.1_region	0	0	0.00	0	0
GL000238.1	39939	449894	11.26	0	184
GL000238.1_region	0	0	0.00	0	0
GL000202.1	40103	11592	0.29	0	3
GL000202.1_region	0	0	0.00	0	0
GL000234.1	40531	20901	0.52	0	39
GL000234.1_region	0	0	0.00	0	0
GL000232.1	40652	23389	0.58	0	51
GL000232.1_region	0	0	0.00	0	0
GL000206.1	41001	8491	0.21	0	4
GL000206.1_region	0	0	0.00	0	0
GL000240.1	41933	10603	0.25	0	3
GL000240.1_region	0	0	0.00	0	0
GL000236.1	41934	32133	0.77	0	55
GL000236.1_region	0	0	0.00	0	0
GL000241.1	42152	129817	3.08	0	135
GL000241.1_region	0	0	0.00	0	0
GL000243.1	43341	13033	0.30	0	5
GL000243.1_region	0	0	0.00	0	0
GL000242.1	43523	447281	10.28	0	205
GL000242.1_region	0	0	0.00	0	0
GL000230.1	43691	253721	5.81	0	303
GL000230.1_region	0	0	0.00	0	0
GL000237.1	45867	83666	1.82	0	104
GL000237.1_region	0	0	0.00	0	0
GL000233.1	45941	3603	0.08	0	2
GL000233.1_region	0	0	0.00	0	0
GL000204.1	81310	61941	0.76	0	214
GL000204.1_region	0	0	0.00	0	0
GL000198.1	90085	18912	0.21	0	3
GL000198.1_region	0	0	0.00	0	0
GL000208.1	92689	42100	0.45	0	23
GL000208.1_region	0	0	0.00	0	0
GL000191.1	106433	166171	1.56	0	121
GL000191.1_region	0	0	0.00	0	0
GL000227.1	128374	420109	3.27	0	389
GL000227.1_region	0	0	0.00	0	0
GL000228.1	129120	679158	5.26	0	360
GL000228.1_region	0	0	0.00	0	0
GL000214.1	137718	790421	5.74	0	418
GL000214.1_region	0	0	0.00	0	0
GL000221.1	155397	436588	2.81	0	469
GL000221.1_region	0	0	0.00	0	0
GL000209.1	159169	1558440	9.79	0	369
GL000209.1_region	0	0	0.00	0	0
GL000218.1	161147	236222	1.47	0	590
GL000218.1_region	0	0	0.00	0	0
GL000220.1	161802	2606206	16.11	0	351
GL000220.1_region	0	0	0.00	0	0
GL000213.1	164239	420531	2.56	0	270
GL000213.1_region	0	0	0.00	0	0
GL000211.1	166566	960228	5.76	0	494
GL000211.1_region	0	0	0.00	0	0
GL000199.1	169874	163357	0.96	0	43
GL000199.1_region	0	0	0.00	0	0
GL000217.1	172149	43029	0.25	0	50
GL000217.1_region	0	0	0.00	0	0
GL000216.1	172294	63920	0.37	0	81
GL000216.1_region	0	0	0.00	0	0
GL000215.1	172545	185717	1.08	0	123
GL000215.1_region	0	0	0.00	0	0
GL000205.1	174588	385824	2.21	0	511
GL000205.1_region	0	0	0.00	0	0
GL000219.1	179198	364917	2.04	0	259
GL000219.1_region	0	0	0.00	0	0
GL000224.1	179693	691937	3.85	0	423
GL000224.1_region	0	0	0.00	0	0
GL000223.1	180455	1072216	5.94	0	187
GL000223.1_region	0	0	0.00	0	0
GL000195.1	182896	1122211	6.14	0	1431
GL000195.1_region	0	0	0.00	0	0
GL000212.1	186858	2546959	13.63	0	1007
GL000212.1_region	0	0	0.00	0	0
GL000222.1	186861	640757	3.43	0	336
GL000222.1_region	0	0	0.00	0	0
GL000200.1	187035	174712	0.93	0	209
GL000200.1_region	0	0	0.00	0	0
GL000193.1	189789	63353	0.33	0	9
GL000193.1_region	0	0	0.00	0	0
GL000194.1	191469	174221	0.91	0	95
GL000194.1_region	0	0	0.00	0	0
GL000225.1	211173	114268	0.54	0	35
GL000225.1_region	0	0	0.00	0	0
GL000192.1	547496	3924605	7.17	0	1559
GL000192.1_region	0	0	0.00	0	0
NC_007605	171823	447	0.00	0	10
NC_007605_region	0	0	0.00	0	0
hs37d5	35477943	47735486	1.35	0	1437
hs37d5_region	0	0	0.00	0	0
total	3137454505	11059748374	3.53	0	25714
total_region	39086460	5528557512	141.44	0	2715
