gene_id	gene_name	ND0013	ND0323	ND0463	ND0693
ENSG00000239810	PRAMEF11	0	0	0	0
ENSG00000239819	IGKV1D-8	4.008	0	2	0
ENSG00000239820	RN7SL213P	0	0	2	0
ENSG00000239821	RN7SL513P	0	0	0	0
ENSG00000239822	RN7SL754P	0	0	0	0
ENSG00000239823	Y_RNA	0	0	0	0
ENSG00000239825	RN7SL549P	0	0	0	0
ENSG00000239827	SUGT1P3	6	11.752	7.712	3
ENSG00000239828	AC063944.1	0	0	0	1
ENSG00000239829	KRT8P25	0	0	0	0
ENSG00000239830	RPS4XP22	1	0	1	3
ENSG00000239831	RNF7P1	0	0	0	0
ENSG00000239835	AC092910.1	0	0	0	0
ENSG00000239839	DEFA3	621.145	4302.2	36.395	1020.885
ENSG00000239840	RPL23AP72	0	0	0	1
ENSG00000239855	IGKV1-6	42	15.242	18.333	34.804
ENSG00000239856	RN7SL225P	0	0	0	0
ENSG00000239857	GET4	717.001	508.186	1239.599	671
ENSG00000239861	AP001486.1	0	0	0	0
ENSG00000239862	IGKV1-37	10.806	11	0	1.213
ENSG00000239868	RN7SL34P	1	0	3	0
ENSG00000239870	AC112206.1	0	0	0	0
ENSG00000239872	RPL35AP19	0	1	0	0
ENSG00000239873	GAPDHP27	0	0	0	1
ENSG00000239877	IGSF11-AS1	0	0	0	0
ENSG00000239880	AC068760.1	0	0	0	0
ENSG00000239881	RPS27P25	0	0	0	0
ENSG00000239883	PARGP1	33.34	42.78	82.776	17.805
ENSG00000239884	RN7SL608P	3.174	1.608	14	0
ENSG00000239886	KRTAP9-2	0	0	0	0
ENSG00000239887	C1orf226	6	5	0	7
ENSG00000239888	RN7SL792P	0	0	0	0
ENSG00000239893	ZNF736P9Y	0	0	0	0
ENSG00000239899	RN7SL674P	0	0	0	0
ENSG00000239900	ADSL	665.012	359.427	504.411	363.377
ENSG00000239906	AL627309.2	0	0	0	0
ENSG00000239908	RN7SL75P	0	0	3	1
ENSG00000239910	RN7SL530P	0	0	1	0
ENSG00000239911	PRKAG2-AS1	39	32	268	19
ENSG00000239912	RPL39P36	1	0	0	0
ENSG00000239917	RPS10P16	0	0	0	0
ENSG00000239919	SNRPGP3	0	0	0	0
ENSG00000239920	AC104389.5	39.874	46.475	5.032	10.171
ENSG00000239921	LINC01471	0	0	2	0
ENSG00000239922	AC092958.1	0	0	0	0
ENSG00000239923	RN7SL864P	0	0	0	0
ENSG00000239924	RPL29P22	0	0	0	0
ENSG00000239926	PRDX3P4	0	0	0	0
ENSG00000239930	AP001625.3	0	0	0	0
ENSG00000239932	RN7SL606P	2	1	1	0
ENSG00000239939	RPSAP34	0	0	0	0
ENSG00000239941	AC108718.1	0	0	0	1
ENSG00000239942	RN7SL394P	0	0	0	0
ENSG00000239944	TRBV8-2	0	0	0	0
ENSG00000239945	AL627309.3	13.058	9.017	8.329	0
ENSG00000239946	ZBTB20-AS3	0	0	0	0
ENSG00000239948	RN7SL368P	4	6	181	8
ENSG00000239951	IGKV3-20	1023.614	373.14	229.767	779.182
ENSG00000239953	RN7SL273P	0	0	1	0
ENSG00000239958	RN7SL51P	0	0	0	0
ENSG00000239959	ENPP7P2	0	0	0	0
ENSG00000239961	LILRA4	127.897	56.473	341.259	139.62
ENSG00000239964	RN7SL748P	0	0	0	0
ENSG00000239967	OR2A41P	0	0	0	0
ENSG00000239969	AC091390.4	14.918	10.054	13.452	8.657
ENSG00000239975	IGKV1D-33	0	12.394	15.625	27.426
ENSG00000239978	OR7E53P	0	0	0	0
ENSG00000239981	OR2A15P	0	0	0	0
ENSG00000239983	AC016687.1	0	0	0	0
ENSG00000239984	RN7SL420P	0	0	0	0
ENSG00000239985	AC073210.2	0	0	0	1.219
ENSG00000239986	AL445584.1	0	0	0	0
ENSG00000239988	RPL31P60	0	0	0	0
ENSG00000239989	AC008132.2	0	0	0	0
ENSG00000239991	AC092059.1	0	0	0	0
ENSG00000239992	TRBVA	0	0	0	0
ENSG00000239994	AC069444.1	0	0	0	0
ENSG00000239995	TPT1P11	0	0	0	0
ENSG00000239997	FCF1P3	0	0	0	0
ENSG00000239998	LILRA2	1782	2222.713	319.001	2704.847
ENSG00000240002	YBX1P3	0	0	0	0
ENSG00000240003	RPL7P24	1	0	1	2
ENSG00000240005	STIM2-AS1	0	0	2	4
ENSG00000240006	LINC02004	0	0	0	0
ENSG00000240012	SLC9A9-AS1	0	0	1	0
ENSG00000240014	RN7SL254P	0	0	1	0
ENSG00000240015	AC084024.1	3	1	4	2
ENSG00000240021	TEX35	0	0	0	0
ENSG00000240023	AL133163.1	0	0	4	0
ENSG00000240024	LINC00888	9	8	33	5
ENSG00000240027	AC084357.1	0	0	0	0
ENSG00000240031	OR9A3P	0	0	0	0
ENSG00000240032	LNCSRLR	0	0	0	0
ENSG00000240033	AC069439.2	0	0	0	0
ENSG00000240034	MTND6P6	0	0	0	0
ENSG00000240036	AC104563.1	2.2	1.002	0	0
ENSG00000240038	AMY2B	159.829	364.046	420.39	254.656
ENSG00000240040	AC244205.1	0	2	0	0
ENSG00000240041	IGHJ4	17.677	4	11	20.974
ENSG00000240043	RPS27P26	0	0	0	0
ENSG00000240045	STRIT1	0	0	0	0
ENSG00000240047	RPS3AP32	0	0	2	1
ENSG00000240048	DDX50P2	0	0	0	0
ENSG00000240051	RPL23AP10	0	0	0	0
ENSG00000240052	AC108114.1	0	0	0	0
ENSG00000240053	LY6G5B	167.912	203.469	1077.294	162.999
ENSG00000240056	AL445190.1	0	0	0	0
ENSG00000240057	AC078785.1	19	10	24	11
ENSG00000240058	ARGFXP1	0	0	0	0
ENSG00000240063	AC069431.1	0	0	2	0
ENSG00000240065	PSMB9	1973.168	1559	457	1958.001
ENSG00000240068	RPL21P42	0	0	0	0
ENSG00000240069	GPAA1P1	0	0	0	0
ENSG00000240074	RPL9P30	0	0	0	0
ENSG00000240083	RPS3AP22	0	0	0	0
ENSG00000240084	MTND4LP10	0	0	0	0
ENSG00000240086	AC092969.1	2	0	0	1
ENSG00000240087	RPSAP12	3.252	5.526	0	1.061
ENSG00000240089	BMS1P3	0	0	0	0
ENSG00000240093	AC093627.3	0	0	1	0
ENSG00000240095	AC055758.1	0	0	0	0
ENSG00000240096	AL132838.1	0	0	1	0
ENSG00000240097	AC104164.2	0	0	0	0
ENSG00000240098	RN7SL351P	0	0	0	1
ENSG00000240100	AC083806.1	0	0	0	0
ENSG00000240103	AC132825.1	0	0	0	0
ENSG00000240106	RN7SL146P	6	4	3	1
ENSG00000240107	AC046144.1	0	0	0	0
ENSG00000240108	NCOR1P1	0	0	0	0
ENSG00000240116	RN7SL303P	0	0	0	0
ENSG00000240121	RPS27P20	0	0	0	0
ENSG00000240122	FABP5P11	0	0	0	0
ENSG00000240125	RPL23AP75	0	0	0	0
ENSG00000240128	KRT18P43	0	1	0	0
