gene_id	gene_name	ND0013	ND0323	ND0463	ND0693
ENSG00000282732	AC073539.7	0	0	0	0
ENSG00000282738	AC243829.7	0	0	0	0
ENSG00000282740	AL021920.3	0	0	0	0
ENSG00000282742	AC093323.3	0.078171	0.076531	0.091225	0.467661
ENSG00000282757	DUXB	0.021402	0	0	0.027436
ENSG00000282759	AC026950.2	0	0	0	0
ENSG00000282772	AL358790.1	0	0.076127	0.732441	0
ENSG00000282780	TRBJ1-6	2.319752	0	0	0
ENSG00000282785	AC140479.6	0	0	0	0
ENSG00000282787	AL157888.1	0	0	0.169469	0.495699
ENSG00000282793	AC090164.4	0	0	0	0
ENSG00000282798	AC008993.2	0	0	0	0
ENSG00000282804	AL512428.1	0	0	0	0
ENSG00000282807	AC008993.3	0	0	0	0
ENSG00000282815	TEX13C	0	0	0	0
ENSG00000282816	AC000035.1	0	0.16789	0	0
ENSG00000282826	FRG1CP	2.043271	1.432952	8.002845	1.492385
ENSG00000282828	AC009971.1	0	0	0	0.151665
ENSG00000282834	AP000787.3	0	0	0	0
ENSG00000282836	AC068544.2	0	0	0	0
ENSG00000282840	AC004554.2	0	0	0.040999	0.060123
ENSG00000282842	FRG2EP	0	0	0	0
ENSG00000282843	AL590644.1	0	0.028164	0	0
ENSG00000282849	AL359834.1	0	0	0	0
ENSG00000282850	RHOXF1P2	0	0	0	0.158414
ENSG00000282851	BISPR	4.08596	4.62214	7.56773	7.651611
ENSG00000282852	AL137790.2	0	0	1.558439	0
ENSG00000282855	AC093591.3	0	0	0	0
ENSG00000282859	AC003992.1	0	0	0	0
ENSG00000282860	AC084035.1	0	0	0	0
ENSG00000282863	AC012560.1	0	0.103108	0	0
ENSG00000282864	AL356118.1	0	0	0	0
ENSG00000282865	AL157815.1	0	0	0	0
ENSG00000282870	FRG1DP	0.03386	0	0.118878	0
ENSG00000282872	C1orf232	0	0	0	0
ENSG00000282875	BX322534.1	0	0.164666	0	0
ENSG00000282876	Z98752.4	0	0	0.171531	0.062713
ENSG00000282879	AC095038.3	0	0	0	0
ENSG00000282881	TMEM275	0	0.040723	0	0
ENSG00000282882	AC027045.2	0	0	0	0
ENSG00000282885	AL627171.2	0.135978	0.028484	0.416409	0.024757
ENSG00000282886	PTMAP12	0	0.089971	0	0
ENSG00000282887	AL358215.2	0	0	0	0
ENSG00000282890	AC009975.1	0	0	0	0
ENSG00000282894	DUX4L33	0.025757	0	0	0
ENSG00000282897	AL162727.3	0	0	0	0
ENSG00000282898	AL353651.2	0	0	0	0
