chrom	length	bases	mean	min	max
GL000217.1	172149	112246	0.65	0	57
GL000217.1_region	0	0	0.00	0	0
GL000216.1	172294	463109	2.69	0	479
GL000216.1_region	0	0	0.00	0	0
GL000215.1	172545	198589	1.15	0	148
GL000215.1_region	0	0	0.00	0	0
GL000205.1	174588	523135	3.00	0	538
GL000205.1_region	0	0	0.00	0	0
GL000219.1	179198	169037	0.94	0	112
GL000219.1_region	0	0	0.00	0	0
GL000224.1	179693	427275	2.38	0	66
GL000224.1_region	0	0	0.00	0	0
GL000223.1	180455	339297	1.88	0	86
GL000223.1_region	0	0	0.00	0	0
GL000195.1	182896	424352	2.32	0	267
GL000195.1_region	0	0	0.00	0	0
GL000212.1	186858	1735121	9.29	0	571
GL000212.1_region	0	0	0.00	0	0
GL000222.1	186861	805356	4.31	0	1271
GL000222.1_region	0	0	0.00	0	0
GL000200.1	187035	125103	0.67	0	88
GL000200.1_region	0	0	0.00	0	0
GL000193.1	189789	663238	3.49	0	265
GL000193.1_region	0	0	0.00	0	0
GL000194.1	191469	614208	3.21	0	378
GL000194.1_region	0	0	0.00	0	0
GL000225.1	211173	1693361	8.02	0	421
GL000225.1_region	0	0	0.00	0	0
GL000192.1	547496	1515629	2.77	0	217
GL000192.1_region	0	0	0.00	0	0
hs37d5	35477943	84506093	2.38	0	1154
hs37d5_region	0	0	0.00	0	0
total	3137282682	5028303773	1.60	0	2278
total_region	45326818	2558720031	56.45	0	2017
