task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
19	56/0bfeaa	5226795	NFCORE_SAREK:SAREK:FASTP (ND0693-1)	CACHED	0	2026-02-10 10:19:29.241	43m 27s	43m 8s	249.1%	1.8 GB	2.7 GB	48.1 GB	49.1 GB
13	96/208337	5226791	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_138_mod.b37.vcf)	CACHED	0	2026-02-10 10:19:29.136	57.1s	52s	70.8%	19.2 MB	25.9 MB	1.4 GB	2.2 MB
18	89/ecee10	5226792	NFCORE_SAREK:SAREK:FASTQC (ND0693-1)	CACHED	0	2026-02-10 10:19:29.166	1h 24m 52s	1h 24m 48s	101.6%	1.1 GB	3.8 GB	48.1 GB	4.2 MB
16	f7/9b6dad	5226796	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_Sarek.list)	CACHED	0	2026-02-10 10:19:29.263	7s	0ms	9.4%	5.3 MB	21 MB	56.8 KB	3 KB
34	ac/35a236	5226944	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0693-1)	CACHED	0	2026-02-10 11:02:57.599	44m 39s	21m 53s	1404.5%	25.9 GB	29.5 GB	39.3 GB	34 GB
37	0d/eca77f	5226947	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0693-1)	CACHED	0	2026-02-10 11:02:57.656	48m 44s	20m 48s	1480.3%	26.1 GB	29.6 GB	39.3 GB	34 GB
35	02/d6b1ce	5226945	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0693-1)	CACHED	0	2026-02-10 11:02:57.617	53m 24s	27m 41s	1237.9%	25.7 GB	29.4 GB	39.3 GB	34 GB
29	84/66485f	5226942	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0693-1)	CACHED	0	2026-02-10 11:02:57.546	34m 29s	34m 4s	878.9%	26.1 GB	29.7 GB	39.3 GB	34 GB
33	ed/272e80	5226943	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0693-1)	CACHED	0	2026-02-10 11:02:57.573	39m 5s	28m 17s	1095.4%	25.8 GB	29.3 GB	39.3 GB	34 GB
38	1c/5c3caf	5226948	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0693-1)	CACHED	0	2026-02-10 11:02:57.940	50m 9s	21m 36s	1419.6%	26 GB	29.5 GB	39.3 GB	34 GB
36	3f/850c46	5226946	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0693-1)	CACHED	0	2026-02-10 11:02:57.636	47m 39s	20m 46s	1478.2%	26.1 GB	29.4 GB	39.3 GB	34 GB
32	39/4506b6	5226953	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0693-1)	CACHED	0	2026-02-10 11:02:58.028	56m 13s	25m 3s	1338.2%	25.4 GB	29.5 GB	39.3 GB	34 GB
53	0f/9de0c8	5226797	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_95326171-243199373)	CACHED	0	2026-02-10 10:19:36.713	4.6s	1s	2.7%	3.1 MB	5.4 MB	91.4 KB	3.4 KB
59	c2/8c0b47	5226802	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (3_93504854-198022430)	CACHED	0	2026-02-10 10:19:38.156	3.2s	0ms	4.1%	3.4 MB	10.8 MB	91.4 KB	3.3 KB
60	a8/61f3fd	5226805	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (8_46838887-146364022)	CACHED	0	2026-02-10 10:19:39.446	1.9s	1s	62.7%	3.1 MB	5.4 MB	91 KB	3.3 KB
54	21/f7685c	5226798	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (4_52660117-191154276)	CACHED	0	2026-02-10 10:19:36.881	4.4s	0ms	51.6%	3.1 MB	5.4 MB	91.4 KB	3.3 KB
55	e1/362315	5226800	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (5_49405641-180915260)	CACHED	0	2026-02-10 10:19:37.297	4s	0ms	23.5%	3.1 MB	5.4 MB	91.4 KB	3.3 KB
56	3b/d1a2c6	5226799	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_124535434-249250621)	CACHED	0	2026-02-10 10:19:37.040	4.2s	0ms	11.6%	3.1 MB	5.4 MB	91.5 KB	3.4 KB
62	cb/341862	5226950	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0693-1)	CACHED	0	2026-02-10 11:02:57.976	53m 49s	23m 57s	1391.1%	25.7 GB	29.7 GB	39.3 GB	34 GB
39	49/76f083	5226949	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0693-1)	CACHED	0	2026-02-10 11:02:57.959	58m 44s	28m 58s	1169.2%	26 GB	29.4 GB	39.3 GB	34 GB
57	4d/4859e1	5226801	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-121485432)	CACHED	0	2026-02-10 10:19:37.676	3.6s	0ms	49.2%	3 MB	5.4 MB	91.4 KB	3.3 KB
61	81/fc5015	5226804	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (7_61054331-159138663)	CACHED	0	2026-02-10 10:19:39.396	2s	0ms	60.4%	3.1 MB	5.4 MB	91 KB	3.3 KB
63	ba/da6901	5226951	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0693-1)	CACHED	0	2026-02-10 11:02:57.993	55m 40s	25m 14s	1281.4%	25.6 GB	29.5 GB	39.3 GB	34 GB
58	fa/a3f8c3	5226803	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (6_61830166-171115067)	CACHED	0	2026-02-10 10:19:38.597	2.7s	0ms	60.4%	3.1 MB	5.4 MB	91 KB	3.3 KB
68	72/e1467d	5226809	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (10_42254935-135534747)	CACHED	0	2026-02-10 10:19:40.028	1.4s	0ms	64.9%	3.1 MB	5.4 MB	91.5 KB	3.3 KB
65	4d/71367f	5226806	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (13_19000000-115169878)	CACHED	0	2026-02-10 10:19:39.608	1.8s	0ms	60.4%	3.1 MB	5.4 MB	91 KB	3.3 KB
69	51/892891	5226810	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-92326171)	CACHED	0	2026-02-10 10:19:40.065	1.3s	0ms	65.3%	3.2 MB	5.4 MB	91.4 KB	3.2 KB
67	a2/711170	5226808	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (X_61632012-155270560)	CACHED	0	2026-02-10 10:19:40.002	1.4s	0ms	40.5%	3 MB	5.4 MB	91.4 KB	3.3 KB
66	f7/a3bfc9	5226807	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (12_37856694-133851895)	CACHED	0	2026-02-10 10:19:39.671	1.7s	0ms	43.0%	3.1 MB	5.4 MB	91 KB	3.3 KB
64	f3/436734	5226952	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0693-1)	CACHED	0	2026-02-10 11:02:58.009	55m 59s	25m 4s	1328.4%	25.6 GB	29.8 GB	39.3 GB	34 GB
72	96/98395d	5226812	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (14_19000000-107349540)	CACHED	0	2026-02-10 10:19:40.099	1.3s	0ms	64.0%	3.2 MB	5.4 MB	91.5 KB	3.3 KB
73	c1/5a6769	5226814	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (15_20000000-102531392)	CACHED	0	2026-02-10 10:19:40.144	1.3s	0ms	42.4%	3.1 MB	5.4 MB	91.4 KB	3.3 KB
