task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	f7/9b6dad	5226796	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_Sarek.list)	CACHED	0	2026-02-10 10:19:29.263	7s	0ms	9.4%	5.3 MB	21 MB	56.8 KB	3 KB
5	96/208337	5226791	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_138_mod.b37.vcf)	CACHED	0	2026-02-10 10:19:29.136	57.1s	52s	70.8%	19.2 MB	25.9 MB	1.4 GB	2.2 MB
18	2b/ac3ddc	5226793	NFCORE_SAREK:SAREK:FASTQC (ND0463-1)	CACHED	0	2026-02-10 10:19:29.188	1h 22m 57s	1h 22m 50s	110.5%	1.1 GB	3.8 GB	49.2 GB	4.2 MB
19	1f/5b2c9f	5226794	NFCORE_SAREK:SAREK:FASTP (ND0463-1)	CACHED	0	2026-02-10 10:19:29.209	35m 27s	35m 7s	359.0%	1.7 GB	2.7 GB	49.2 GB	53 GB
46	b8/ed8685	5226930	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0463-1)	CACHED	0	2026-02-10 10:54:56.751	41m 55s	41m 5s	872.3%	25.5 GB	29.5 GB	41.2 GB	36 GB
48	77/3c431d	5226937	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0463-1)	CACHED	0	2026-02-10 10:54:56.894	40m 55s	40m 41s	850.3%	25.9 GB	29.6 GB	41.2 GB	36 GB
49	a4/54e7c6	5226932	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0463-1)	CACHED	0	2026-02-10 10:54:56.791	41m 5s	40m 50s	829.1%	25.6 GB	29.4 GB	41.2 GB	36 GB
38	9c/c09f52	5226928	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0463-1)	CACHED	0	2026-02-10 10:54:56.511	41m 10s	41m 2s	846.9%	25.6 GB	29.5 GB	41.2 GB	36 GB
51	17/f0624e	5226934	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0463-1)	CACHED	0	2026-02-10 10:54:56.832	41m 16s	40m 58s	860.9%	25.5 GB	29.5 GB	41.2 GB	36 GB
47	d7/7c753b	5226931	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (ND0463-1)	CACHED	0	2026-02-10 10:54:56.772	41m 5s	40m 53s	838.8%	25.6 GB	29.5 GB	41.2 GB	36 GB
60	a8/61f3fd	5226805	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (8_46838887-146364022)	CACHED	0	2026-02-10 10:19:39.446	1.9s	1s	62.7%	3.1 MB	5.4 MB	91 KB	3.3 KB
58	fa/a3f8c3	5226803	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (6_61830166-171115067)	CACHED	0	2026-02-10 10:19:38.597	2.7s	0ms	60.4%	3.1 MB	5.4 MB	91 KB	3.3 KB
