task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
514	ea/762536	5245360	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:GATK4_GENOTYPEGVCFS (joint_variant_calling)	COMPLETED	0	2026-02-18 19:28:24.966	42m 25s	18m 33s	22.0%	1.8 GB	77.6 GB	437.7 MB	25.3 MB
516	53/81fe0a	5245361	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:GATK4_GENOTYPEGVCFS (joint_variant_calling)	COMPLETED	0	2026-02-18 19:28:25.017	42m 25s	18m 54s	21.5%	2.4 GB	77.6 GB	462.6 MB	25.3 MB
518	b3/9f24fa	5245362	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:GATK4_GENOTYPEGVCFS (joint_variant_calling)	COMPLETED	0	2026-02-18 19:28:25.042	42m 25s	18m 47s	23.1%	2.6 GB	77.6 GB	466.4 MB	25.3 MB
589	97/aa7638	5245434	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:BCFTOOLS_SORT (joint_variant_calling)	COMPLETED	0	2026-02-18 20:10:49.969	4.8s	0ms	58.8%	9.4 MB	711 MB	208.2 KB	107.4 KB
590	c8/83c330	5245435	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:BCFTOOLS_SORT (joint_variant_calling)	COMPLETED	0	2026-02-18 20:10:50.164	4.7s	0ms	74.7%	3.1 MB	5.4 MB	237.5 KB	133 KB
591	64/3c50de	5245436	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:BCFTOOLS_SORT (joint_variant_calling)	COMPLETED	0	2026-02-18 20:10:50.319	4.5s	0ms	64.8%	3.2 MB	5.4 MB	218.7 KB	116.7 KB
515	6f/159ffd	5245359	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:GATK4_GENOTYPEGVCFS (joint_variant_calling)	COMPLETED	0	2026-02-18 19:28:24.908	43m 25s	20m 19s	22.6%	2 GB	77.6 GB	469.6 MB	25.3 MB
512	43/d18f38	5245357	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:GATK4_GENOTYPEGVCFS (joint_variant_calling)	COMPLETED	0	2026-02-18 19:27:55.285	43m 55s	21m 3s	28.1%	1.9 GB	77.6 GB	468.6 MB	25.3 MB
517	1a/51d0df	5245363	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:GATK4_GENOTYPEGVCFS (joint_variant_calling)	COMPLETED	0	2026-02-18 19:28:25.090	43m 25s	19m 29s	22.5%	1.9 GB	77.6 GB	471.1 MB	25.3 MB
521	22/0635fd	5245366	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:GATK4_GENOTYPEGVCFS (joint_variant_calling)	COMPLETED	0	2026-02-18 19:28:59.833	42m 50s	19m 24s	23.0%	2.3 GB	77.6 GB	468.7 MB	25.3 MB
522	43/a57179	5245367	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:GATK4_GENOTYPEGVCFS (joint_variant_calling)	COMPLETED	0	2026-02-18 19:28:59.848	42m 50s	19m 25s	23.4%	2.2 GB	77.6 GB	453.1 MB	25.3 MB
592	30/bdb9e6	5245437	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:BCFTOOLS_SORT (joint_variant_calling)	COMPLETED	0	2026-02-18 20:11:49.952	4.9s	0ms	66.4%	3.1 MB	5.4 MB	207.4 KB	106.7 KB
593	49/930a6f	5245438	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:BCFTOOLS_SORT (joint_variant_calling)	COMPLETED	0	2026-02-18 20:11:50.004	4.8s	0ms	76.2%	3.1 MB	5.4 MB	215.6 KB	114 KB
594	e1/c51533	5245439	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:BCFTOOLS_SORT (joint_variant_calling)	COMPLETED	0	2026-02-18 20:11:50.037	4.8s	0ms	75.3%	3.1 MB	5.4 MB	201 KB	100.9 KB
595	f1/954dec	5245440	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:BCFTOOLS_SORT (joint_variant_calling)	COMPLETED	0	2026-02-18 20:11:50.154	4.7s	0ms	75.3%	3.1 MB	5.4 MB	223.4 KB	120.9 KB
596	2f/5a115b	5245441	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:BCFTOOLS_SORT (joint_variant_calling)	COMPLETED	0	2026-02-18 20:11:50.299	4.5s	0ms	72.5%	3.1 MB	5.4 MB	199 KB	99 KB
519	0b/b0d8eb	5245364	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:GATK4_GENOTYPEGVCFS (joint_variant_calling)	COMPLETED	0	2026-02-18 19:28:29.879	44m 20s	20m 41s	24.2%	2.3 GB	77.6 GB	465.8 MB	25.3 MB
520	92/1e2e38	5245365	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:GATK4_GENOTYPEGVCFS (joint_variant_calling)	COMPLETED	0	2026-02-18 19:28:59.802	43m 50s	20m 35s	22.3%	2.2 GB	77.6 GB	476.1 MB	25.3 MB
597	26/576b01	5245442	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:BCFTOOLS_SORT (joint_variant_calling)	COMPLETED	0	2026-02-18 20:12:49.971	4.8s	0ms	66.1%	3.1 MB	5.4 MB	208.7 KB	107.8 KB
598	e2/dd4943	5245443	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:BCFTOOLS_SORT (joint_variant_calling)	COMPLETED	0	2026-02-18 20:12:50.023	4.8s	0ms	67.2%	3.1 MB	5.4 MB	192.9 KB	93.5 KB
599	38/8e8fc9	5245444	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_HAPLOTYPECALLER:BAM_JOINT_CALLING_GERMLINE_GATK:MERGE_GENOTYPEGVCFS (joint_variant_calling)	COMPLETED	0	2026-02-18 20:12:55.025	9.8s	7s	128.2%	458.1 MB	33.7 GB	103.4 MB	3.3 MB
603	8d/6c5cb7	5245445	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:BCFTOOLS_STATS (joint_variant_calling)	COMPLETED	0	2026-02-18 20:13:04.880	4.9s	0ms	61.4%	9.3 MB	51.8 MB	2.5 MB	176.3 KB
602	c5/855a88	5245447	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (joint_variant_calling)	COMPLETED	0	2026-02-18 20:13:04.914	4.9s	0ms	58.4%	2.9 MB	12 MB	2.4 MB	3.3 KB
601	e9/ea9977	5245448	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY (joint_variant_calling)	COMPLETED	0	2026-02-18 20:13:04.930	4.9s	0ms	58.2%	3 MB	22.1 MB	2.4 MB	3.3 KB
600	72/ef47fd	5245446	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (joint_variant_calling)	COMPLETED	0	2026-02-18 20:13:04.896	4.9s	0ms	57.4%	3 MB	22.1 MB	2.4 MB	325 KB
604	b9/4121ae	5245449	NFCORE_SAREK:SAREK:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2026-02-18 20:13:23.318	1.5s	210ms	86.2%	7.9 MB	14.5 MB	898.7 KB	5.3 KB
605	53/b62912	5245450	NFCORE_SAREK:SAREK:MULTIQC	COMPLETED	0	2026-02-18 20:13:24.907	39.9s	38.6s	174.1%	171.1 MB	833.2 MB	1.1 GB	11.8 MB
