task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
8	14/b9d520	5242415	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_138_mod.b37.vcf)	CACHED	0	2026-02-18 15:14:07.430	52.9s	47s	58.4%	20 MB	26.8 MB	1.4 GB	2.2 MB
12	86/56835f	5246481	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (xgen-exome-research-panel-targets_reformat_clean.bed)	COMPLETED	0	2026-02-19 09:34:58.747	3.1s	0ms	59.6%	6.6 MB	22.3 MB	4.2 MB	4.1 MB
20	25/f37651	5246484	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (3_39142507-39142593)	COMPLETED	0	2026-02-19 09:35:04.661	2.2s	0ms	45.1%	3.1 MB	5.4 MB	176.8 KB	30.1 KB
22	29/ded894	5246485	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (7_100854872-100854997)	COMPLETED	0	2026-02-19 09:35:04.678	2.2s	0ms	61.9%	3.1 MB	5.4 MB	183.1 KB	33.2 KB
27	3d/eb0edf	5246487	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (19_1122467-1122557)	COMPLETED	0	2026-02-19 09:35:04.710	2.2s	0ms	64.9%	3.1 MB	5.4 MB	171.1 KB	27.6 KB
23	f9/ec224a	5246488	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_69091-70008)	COMPLETED	0	2026-02-19 09:35:04.727	2.2s	0ms	64.4%	3 MB	5.4 MB	176.1 KB	30.9 KB
26	c7/84967f	5246489	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (6_97533002-97533218)	COMPLETED	0	2026-02-19 09:35:04.749	2.1s	0ms	62.7%	3.1 MB	5.4 MB	179.8 KB	33.7 KB
28	47/c4045b	5246490	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (12_10569266-10569366)	COMPLETED	0	2026-02-19 09:35:04.765	2.1s	0ms	63.2%	3.1 MB	5.4 MB	182.9 KB	32.7 KB
25	76/027c33	5246491	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (11_67168539-67168703)	COMPLETED	0	2026-02-19 09:35:04.782	2.1s	0ms	64.4%	3.1 MB	5.4 MB	179.5 KB	32.7 KB
24	37/70be9d	5246492	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (6_10797849-10798226)	COMPLETED	0	2026-02-19 09:35:04.799	2.1s	0ms	54.5%	3 MB	5.4 MB	174.5 KB	29.2 KB
